网站,品牌,产品名称,规格,原价货币,原价金额,人民币税前,人民币税后,解析雪茄支数,单支人民币税后,链接
Siglo Mundo,Punch,Firebird Punch Cutter,Black,CHF,16.00,131.20,196.80,,,https://siglomundo.ch/products/firebird-punch-cutter
Siglo Mundo,Punch,Firebird Punch Cutter,Blue,CHF,16.00,131.20,196.80,,,https://siglomundo.ch/products/firebird-punch-cutter
Siglo Mundo,Punch,Firebird Punch Cutter,Silver Matt,CHF,16.00,131.20,196.80,,,https://siglomundo.ch/products/firebird-punch-cutter
Siglo Mundo,Romeo y Julieta,Romeo y Julieta Ashtray,默认,CHF,108.00,885.60,1328.40,,,https://siglomundo.ch/products/romeo-y-julieta-ashtray
Siglo Mundo,Partagas,Partagas Ashtray,默认,CHF,116.00,951.20,1426.80,,,https://siglomundo.ch/products/partagas-ashtray
Siglo Mundo,Punch,Cigar Punch QUASAR,Red,CHF,44.24,362.77,544.16,,,https://siglomundo.ch/products/cigar-punch-quasar
Siglo Mundo,Punch,Cigar Punch QUASAR,Black,CHF,44.24,362.77,544.16,,,https://siglomundo.ch/products/cigar-punch-quasar
Siglo Mundo,Punch,Cigar Punch QUASAR,Charcoal,CHF,44.24,362.77,544.16,,,https://siglomundo.ch/products/cigar-punch-quasar
Siglo Mundo,Punch,Cigar Punch QUASAR,Silver,CHF,44.24,362.77,544.16,,,https://siglomundo.ch/products/cigar-punch-quasar
Siglo Mundo,cigarillos,MINI,Pack of 20,CHF,13.90,113.98,170.97,20,8.55,https://siglomundo.ch/products/romeo-mini
Siglo Mundo,cigarillos,CLUB,Pack of 20,CHF,26.00,213.20,319.80,20,15.99,https://siglomundo.ch/products/cohiba-club
Siglo Mundo,cigarillos,Mini,Pack of 20,CHF,20.40,167.28,250.92,20,12.55,https://siglomundo.ch/products/cohiba-mini
Siglo Mundo,cigarillos,MINI WHITE,Pack of 20,CHF,20.40,167.28,250.92,20,12.55,https://siglomundo.ch/products/mini
Siglo Mundo,cigarillos,CLUB WHITE,Pack of 20,CHF,25.50,209.10,313.65,20,15.68,https://siglomundo.ch/products/cohiba-club-white
Siglo Mundo,cigarillos,Short Humidor - Year of the Dragon,Box of 88,CHF,218.80,1794.16,2691.24,88,30.58,https://siglomundo.ch/products/short-humidor-year-of-the-dragon-1
Siglo Mundo,cuban,Cabildos LE 2024,Single Cigar,CHF,108.00,885.60,1328.40,,,https://siglomundo.ch/products/cabildos-le-2024
Siglo Mundo,BF,El Emisario RE SVIZZERA,Box of 10,CHF,380.00,3116.00,4674.00,10,467.40,https://siglomundo.ch/products/el-emisario
Siglo Mundo,BF,El Emisario RE SVIZZERA,Single Cigar,CHF,38.00,311.60,467.40,,,https://siglomundo.ch/products/el-emisario
Siglo Mundo,cigars,Short Humidor Year of the Dragon,Humidor of 66,CHF,165.00,1353.00,2029.50,,,https://siglomundo.ch/products/short-humidor-year-of-the-dragon
Siglo Mundo,BF,Short,Pack of 10,CHF,18.10,148.42,222.63,10,22.26,https://siglomundo.ch/products/trinidad-short
Siglo Mundo,cuban,55 Anniversario LE 2021,Single Cigar,CHF,315.00,2583.00,3874.50,,,https://siglomundo.ch/products/copy-of-behike-56
Siglo Mundo,BF,PETIT ROBUSTOS,SLB of 25,CHF,505.00,4141.00,6211.50,,,https://siglomundo.ch/products/hoyo-de-monterrey-petit-robustos
Siglo Mundo,BF,PETIT ROBUSTOS,Single Cigar,CHF,19.60,160.72,241.08,,,https://siglomundo.ch/products/hoyo-de-monterrey-petit-robustos
Siglo Mundo,BF,Petit Churchills,Pack of 3 AT,CHF,70.20,575.64,863.46,3,287.82,https://siglomundo.ch/products/romeo-y-julieta-petit-churcills
Siglo Mundo,cuban,La Trova LCDH EDT,Single Cigar,CHF,86.00,705.20,1057.80,,,https://siglomundo.ch/products/trinidad-la-trova
Siglo Mundo,BF,PETIT CORONAS,SLB of 50,CHF,575.00,4715.00,7072.50,,,https://siglomundo.ch/products/por-larranaga-petit-coronas
Siglo Mundo,BF,Mañanitas,Single Cigar,CHF,7.00,57.40,86.10,,,https://siglomundo.ch/products/vegueros-mananitas
Siglo Mundo,BF,Vigia,Pack of 3 AT,CHF,172.80,1416.96,2125.44,3,708.48,https://siglomundo.ch/products/trinidad-vigia
Siglo Mundo,BF,Vigia,Single Cigar,CHF,54.00,442.80,664.20,,,https://siglomundo.ch/products/trinidad-vigia
Siglo Mundo,BF,Topes,Box of 12,CHF,804.00,6592.80,9889.20,12,824.10,https://siglomundo.ch/products/trinidad-topes
Siglo Mundo,BF,Topes,Single Cigar,CHF,67.00,549.40,824.10,,,https://siglomundo.ch/products/trinidad-topes
Siglo Mundo,BF,Reyes,Single Cigar,CHF,34.40,282.08,423.12,,,https://siglomundo.ch/products/trinidad-reyes
Siglo Mundo,BF,Media Luna,Single Cigar,CHF,46.90,384.58,576.87,,,https://siglomundo.ch/products/trinidad-media-luna
Siglo Mundo,cuban,Esmeralda,Single Cigar,CHF,67.90,556.78,835.17,,,https://siglomundo.ch/products/trinidad-esmeralda
Siglo Mundo,cuban,Coloniales,Single Cigar,CHF,49.70,407.54,611.31,,,https://siglomundo.ch/products/trinidad-coloniales
Siglo Mundo,BF,Linea de oro Nobles,Single Cigar,CHF,59.60,488.72,733.08,,,https://siglomundo.ch/products/romeo-y-julieta-nobles
Siglo Mundo,BF,Linea de oro Dianas,Single Cigar,CHF,63.30,519.06,778.59,,,https://siglomundo.ch/products/romeo-y-julieta-dianas
Siglo Mundo,BF,Short Churchills,Single Cigar,CHF,25.50,209.10,313.65,,,https://siglomundo.ch/products/romeo-y-julieta-short-churchills
Siglo Mundo,BF,Short Churchills,Single Cigar AT,CHF,29.40,241.08,361.62,,,https://siglomundo.ch/products/romeo-y-julieta-short-churchills
Siglo Mundo,BF,Regalias de Londres,Box of 25,CHF,220.00,1804.00,2706.00,25,108.24,https://siglomundo.ch/products/romeo-y-julieta-regalis-de-londres
Siglo Mundo,BF,Regalias de Londres,Single Cigar,CHF,8.50,69.70,104.55,,,https://siglomundo.ch/products/romeo-y-julieta-regalis-de-londres
Siglo Mundo,BF,Petit Julietas,Box of 25,CHF,210.00,1722.00,2583.00,25,103.32,https://siglomundo.ch/products/romeo-y-julieta-petit-julietas
Siglo Mundo,BF,Romeo No. 3,Single Cigar AT,CHF,11.10,91.02,136.53,,,https://siglomundo.ch/products/romeo-y-julieta-romeo-no-3
Siglo Mundo,BF,Romeo No. 2,Single Cigar AT,CHF,12.10,99.22,148.83,,,https://siglomundo.ch/products/romeo-y-julieta-romeo-no-2
Siglo Mundo,BF,Mille Fleurs,Box of 10,CHF,103.00,844.60,1266.90,10,126.69,https://siglomundo.ch/products/romeo-y-julieta-mille-fleurs
Siglo Mundo,cuban,Cedros de Luxe No. 2 - Vintage cigars,Single Cigar,CHF,19.00,155.80,233.70,,,https://siglomundo.ch/products/romeo-y-julieta-cedros-de-luxe-no-2
Siglo Mundo,cuban,ESPECIAL D'ORSAY,Single cigar,CHF,48.00,393.60,590.40,,,https://siglomundo.ch/products/quai-dorsay-especial-dorsay
Siglo Mundo,BF,MADURO 5 SECRETOS,Single Cigar,CHF,40.60,332.92,499.38,,,https://siglomundo.ch/products/cohiba-maduro-5-secretos
Siglo Mundo,cuban,MADURO 5 GENIOS,Single Cigar,CHF,104.00,852.80,1279.20,,,https://siglomundo.ch/products/cohiba-maduro-5-genios
Siglo Mundo,BF,ROBUSTOS,Pack of 3 AT,CHF,252.00,2066.40,3099.60,3,1033.20,https://siglomundo.ch/products/cohiba-robustos
Siglo Mundo,BF,ROBUSTOS,Single Cigar,CHF,81.60,669.12,1003.68,,,https://siglomundo.ch/products/cohiba-robustos
Siglo Mundo,BF,PANETELAS,Box of 25,CHF,810.00,6642.00,9963.00,25,398.52,https://siglomundo.ch/products/cohiba-panetelas
Siglo Mundo,BF,PANETELAS,Pack of 5,CHF,162.00,1328.40,1992.60,5,398.52,https://siglomundo.ch/products/cohiba-panetelas
Siglo Mundo,BF,MEDIO SIGLO,Pack of 3 AT,CHF,217.20,1781.04,2671.56,3,890.52,https://siglomundo.ch/products/cohiba-medio-siglo
Siglo Mundo,BF,MEDIO SIGLO,Single Cigar,CHF,68.80,564.16,846.24,,,https://siglomundo.ch/products/cohiba-medio-siglo
Siglo Mundo,BF,EXQUISITOS,Cardbox of 5,CHF,196.50,1611.30,2416.95,,,https://siglomundo.ch/products/cohiba-exquisitos
Siglo Mundo,BF,EXQUISITOS,Single Cigar,CHF,39.30,322.26,483.39,,,https://siglomundo.ch/products/cohiba-exquisitos
Siglo Mundo,cuban,ESPLENDIDOS,Pack of 3,CHF,396.00,3247.20,4870.80,3,1623.60,https://siglomundo.ch/products/cohiba-esplendidos
Siglo Mundo,cuban,Siglo VI,Single Cigar,CHF,108.90,892.98,1339.47,,,https://siglomundo.ch/products/cohiba-siglo-vi
Siglo Mundo,cuban,Siglo IV,Pack of 5,CHF,319.00,2615.80,3923.70,5,784.74,https://siglomundo.ch/products/cohiba-siglo-lv
Siglo Mundo,cuban,Siglo IV,Pack of 3 AT,CHF,196.20,1608.84,2413.26,3,804.42,https://siglomundo.ch/products/cohiba-siglo-lv
Siglo Mundo,cuban,Siglo IV,Single Cigar,CHF,63.80,523.16,784.74,,,https://siglomundo.ch/products/cohiba-siglo-lv
Siglo Mundo,cuban,Siglo IV,Single Cigar AT,CHF,65.40,536.28,804.42,,,https://siglomundo.ch/products/cohiba-siglo-lv
Siglo Mundo,BF,Siglo III,Pack of 5,CHF,281.50,2308.30,3462.45,5,692.49,https://siglomundo.ch/products/cohiba-siglo-ill
Siglo Mundo,BF,Siglo III,Pack of 3 AT,CHF,178.50,1463.70,2195.55,3,731.85,https://siglomundo.ch/products/cohiba-siglo-ill
Siglo Mundo,BF,Siglo III,Single Cigar,CHF,56.30,461.66,692.49,,,https://siglomundo.ch/products/cohiba-siglo-ill
Siglo Mundo,BF,Siglo II,Pack of 5,CHF,203.00,1664.60,2496.90,5,499.38,https://siglomundo.ch/products/cohiba-siglo-ll
Siglo Mundo,BF,Siglo II,Single Cigar,CHF,40.60,332.92,499.38,,,https://siglomundo.ch/products/cohiba-siglo-ll
Siglo Mundo,BF,Siglo II,Single Cigar AT,CHF,44.00,360.80,541.20,,,https://siglomundo.ch/products/cohiba-siglo-ll
Siglo Mundo,BF,Siglo  I,Pack of 5,CHF,174.50,1430.90,2146.35,5,429.27,https://siglomundo.ch/products/cohiba-siglo-i
Siglo Mundo,BF,Siglo  I,Pack of 3 AT,CHF,114.00,934.80,1402.20,3,467.40,https://siglomundo.ch/products/cohiba-siglo-i
Siglo Mundo,BF,Siglo  I,Single Cigar,CHF,34.90,286.18,429.27,,,https://siglomundo.ch/products/cohiba-siglo-i
Siglo Mundo,BF,Siglo  I,Single Cigar AT,CHF,38.00,311.60,467.40,,,https://siglomundo.ch/products/cohiba-siglo-i
